review_id,product_id,customer_id,rating,review_date,comment
1,92,65,4,2025-12-30,
2,76,147,5,2026-05-18,Llegó rápido y como se describe
3,1,184,4,2024-08-05,
4,57,263,5,2025-08-31,Llegó rápido y como se describe
5,8,356,5,2025-02-02,Superó mis expectativas
6,89,29,3,2025-10-20,"Está bien, aunque tardó en llegar"
7,38,321,4,2025-03-18,Llegó rápido y como se describe
8,30,201,3,2026-03-12,Es correcto por el precio
9,40,425,4,2024-07-14,Llegó rápido y como se describe
10,72,205,5,2025-03-29,"Excelente calidad, lo recomiendo"
11,16,433,5,2025-02-16,Perfecto para uso diario
12,34,596,1,2026-01-01,Mala calidad de materiales
13,38,122,5,2026-06-28,Perfecto para uso diario
14,27,292,5,2026-05-27,
15,91,465,2,2024-11-03,No llegó como esperaba
16,69,164,2,2024-06-18,El envío tardó demasiado
17,73,169,5,2025-06-21,Superó mis expectativas
18,86,534,2,2024-06-28,No lo recomiendo
19,8,158,5,2025-12-07,Lo volvería a comprar
20,52,592,5,2026-04-23,Llegó rápido y como se describe
21,86,365,4,2025-02-01,Muy buena relación precio-calidad
22,35,66,5,2026-04-29,Llegó rápido y como se describe
23,58,190,4,2026-01-01,Perfecto para uso diario
24,40,18,5,2026-05-21,Muy buena relación precio-calidad
25,19,59,3,2025-05-20,
26,42,11,4,2024-06-25,Perfecto para uso diario
27,87,374,5,2025-06-21,Lo volvería a comprar
28,44,242,4,2024-08-31,"Excelente calidad, lo recomiendo"
29,92,493,3,2025-11-15,"Cumple lo básico, nada del otro mundo"
30,41,222,5,2026-04-17,"Excelente calidad, lo recomiendo"
31,89,308,4,2026-02-21,Lo volvería a comprar
32,31,571,4,2025-05-06,Perfecto para uso diario
33,10,2,5,2026-03-12,Perfecto para uso diario
34,89,373,5,2025-04-12,Lo volvería a comprar
35,63,609,3,2024-07-29,
36,94,563,5,2024-12-11,
37,14,463,4,2024-07-26,Llegó rápido y como se describe
38,33,543,3,2024-12-31,
39,36,109,5,2025-10-12,Llegó rápido y como se describe
40,9,57,5,2026-02-02,Superó mis expectativas
41,44,459,4,2024-09-26,Llegó rápido y como se describe
42,60,58,5,2026-02-12,Superó mis expectativas
43,84,217,3,2024-12-03,"Cumple lo básico, nada del otro mundo"
44,60,397,4,2026-02-28,Lo volvería a comprar
45,22,501,4,2024-12-30,Llegó rápido y como se describe
46,74,356,4,2025-06-12,Superó mis expectativas
47,51,164,2,2026-02-03,Se rompió al poco tiempo
48,5,598,5,2025-04-01,"Excelente calidad, lo recomiendo"
49,64,374,5,2025-08-12,Llegó rápido y como se describe
50,72,180,4,2025-03-27,Lo volvería a comprar
51,55,320,5,2026-01-19,Muy buena relación precio-calidad
52,42,509,0,2025-12-27,El envío tardó demasiado
53,7,406,4,2026-01-17,Superó mis expectativas
54,44,69,2,2024-06-06,Se rompió al poco tiempo
55,43,423,0,2025-08-09,Se rompió al poco tiempo
56,79,512,4,2026-06-17,
57,39,407,6,2025-01-12,Lo volvería a comprar
58,24,517,4,2024-09-13,
59,60,339,1,2026-03-17,
60,79,162,3,2024-12-06,"Cumple lo básico, nada del otro mundo"
61,23,595,5,2025-02-27,Perfecto para uso diario
62,18,505,4,2026-06-07,"Excelente calidad, lo recomiendo"
63,38,524,4,2025-09-26,
64,86,100,3,2025-05-03,"Está bien, aunque tardó en llegar"
65,72,247,5,2025-01-15,Perfecto para uso diario
66,30,340,4,2026-01-06,Lo volvería a comprar
67,78,69,4,2025-05-23,Perfecto para uso diario
68,92,348,3,2025-09-28,Es correcto por el precio
69,11,133,5,2024-07-16,"Excelente calidad, lo recomiendo"
70,64,310,5,2024-08-04,
71,78,434,3,2024-06-27,Es correcto por el precio
72,92,99,5,2026-04-17,"Excelente calidad, lo recomiendo"
73,42,399,5,2026-04-02,Superó mis expectativas
74,35,64,1,2026-02-22,El envío tardó demasiado
75,67,213,3,2025-03-25,"Está bien, aunque tardó en llegar"
76,35,173,2,2024-11-14,No llegó como esperaba
77,38,92,5,2026-03-05,Superó mis expectativas
78,73,37,5,2024-11-26,Muy buena relación precio-calidad
79,91,383,4,2024-10-02,
80,27,469,4,2025-09-21,"Excelente calidad, lo recomiendo"
81,57,594,5,2024-07-01,Perfecto para uso diario
82,86,434,4,2025-06-09,"Excelente calidad, lo recomiendo"
83,70,269,5,2025-06-24,Lo volvería a comprar
84,47,603,5,2024-11-11,Superó mis expectativas
85,8,420,4,2024-10-18,Superó mis expectativas
86,85,114,5,2026-04-20,Perfecto para uso diario
